engine,prismo,fio,vdbench,prismo_std,fio_std,vdbench_std
posix,22.378,22.356,22.193,0.165,0.165,0.188
uring,216.179,344.407,,3.017,7.355,
aio,214.975,334.847,,4.222,17.932,
spdk,237.872,343.24,,4.561,4.944,
