engine,prismo,fio,vdbench,prismo_std,fio_std,vdbench_std
posix,44.567,44.431,44.516,0.334,0.26,0.396
uring,560.754,371.529,,8.725,8.717,
aio,590.339,383.14,,12.538,22.969,
spdk,516.942,372.725,,,5.479,
