engine,prismo,fio,vdbench,prismo_std,fio_std,vdbench_std
posix,13.186,13.17,13.211,0.066,0.059,0.075
uring,190.699,391.004,,0.716,0.856,
aio,191.384,393.636,,0.7,0.819,
spdk,,394.271,,,0.755,
