engine,prismo,fio,vdbench,prismo_std,fio_std,vdbench_std
posix,28.502,27.059,22.222,0.668,1.838,3.671
uring,28.512,28.476,,0.921,0.702,
aio,27.778,28.049,,1.334,1.248,
spdk,,28.595,,,0.603,
