engine,prismo,fio,vdbench,prismo_std,fio_std,vdbench_std
posix,94.719,91.282,81.74,0.541,0.294,3.13
uring,453.9,443.075,,12.434,24.181,
aio,439.395,367.336,,22.642,30.016,
spdk,,365.116,,,29.616,
