engine,prismo,fio,vdbench,prismo_std,fio_std,vdbench_std
posix,60.888,60.262,59.261,0.594,0.726,5.815
uring,214.776,333.437,,5.14,17.075,
aio,326.395,326.686,,7.051,54.595,
spdk,87.462,329.185,,8.675,17.157,
