engine,prismo,fio,vdbench,prismo_std,fio_std,vdbench_std
posix,75.722,75.645,75.468,0.38,0.339,0.436
uring,671.003,327.052,,2.488,0.717,
aio,668.475,324.889,,2.441,0.677,
spdk,495.149,324.363,,,0.622,
