engine,prismo,fio,vdbench,prismo_std,fio_std,vdbench_std
posix,113.031,111.747,112.175,3.055,1.018,0.925
uring,456.133,420.529,,4.149,3.923,
aio,456.398,395.96,,4.711,2.191,
spdk,408.945,394.556,,4.961,2.461,
